id;nome;codigo;situacao;cat_administrativa;dep_administrativa;cep;bairro_id;endereco;zona;lat;long;Telefone;email;extensao;porte
69;EM PROFª GRACIOSA XAVIER RAMOS GOMES;29025753;Ativa;Publica;Municipal;48922-000;;RUA DA IGREJA, S/N 48922;Rural;-9.433127;-40.50477;(74) 36181029;;NÃO;Entre 201 e 500 matrículas de escolarização
70;EM PROFª GUIOMAR LUSTOSA RODRIGUES;29024838;Ativa;Publica;Municipal;48901-260;;RUA DAS ALGAROBAS, S/N QUIDE.;Urbana;-9.42998473;-40.52323056;;;NÃO;Entre 501 e 1000 matrículas de escolarização
71;EM PROFª HAYDEE FONSECA FALCAO;29024960;Ativa;Publica;Municipal;48914-072;;QUADRA QUADRA 23, S/N JOAO PAULO II.;Urbana;-9.470588802;-40.49805441;(74) 999858835;;NÃO;Entre 501 e 1000 matrículas de escolarização
72;EM PROFª HELENA ARAUJO PINHEIRO;29025575;Ativa;Publica;Municipal;48916-231;;RUA RUA DA SAUDADE, S/N PADRE VICENTE- CODEVASF.;Urbana;-9.441909;-40.50995;(74) 988332875;;NÃO;Entre 201 e 500 matrículas de escolarização
73;EM PROFª HELENA ARAUJO PINHEIRO – EXT;11111112;Ativa;Publica;Municipal;;;;Urbana;;;;;SIM;
74;EM PROFª IRACY NUNES DA SILVA;29341809;Ativa;Publica;Municipal;48924-000;;FELIPE BARROSO, S/N DISTRITO DE ITAMOTINGA.;Rural;-9.097463823;-40.09946125;;;NÃO;Entre 501 e 1000 matrículas de escolarização
75;EM PROFª LEOPOLDINA LEAL;29024978;Ativa;Publica;Municipal;48901-100;;RUA ARNALDO VIEIRA, S/N QUIDE.;Urbana;;;(74) 988236218;;NÃO;Entre 501 e 1000 matrículas de escolarização
76;EM PROFª MARIA AMELIA DE SOUZA OLIVEIRA;29026776;Ativa;Publica;Municipal;48922-200;;COMUNIDADE SABIA II, SALITRE.;Rural;-9.453838333;-40.513045;(74) 91044270;;NÃO;Entre 51 e 200 matrículas de escolarização
77;EM PROFª MARIA DE LOURDES DUARTE;29024943;Ativa;Publica;Municipal;48904-179;;TRAVESSA TRAVESSA BEIJA-FLOR, 151 JARDIM UNIVERSITARIO.;Urbana;-9.419725;-40.49078167;(74) 999460651;;NÃO;Entre 201 e 500 matrículas de escolarização
78;EM PROFª MARIA FRANCA PIRES;29024986;Ativa;Publica;Municipal;48900-310;;RUA ALLAN KARINE, S/N JOAO XXIII.;Urbana;-9.43259462;-40.49971998;(74) 36123354;;NÃO;Entre 501 e 1000 matrículas de escolarização
79;EM PROFª MARIA JOSE LIMA DA ROCHA;29362504;Ativa;Publica;Municipal;48914-140;;QUADRA 9, S/N JOAO PAULO II.;Urbana;-9.475517655;-40.49628097;(74) 36120485;;NÃO;Entre 501 e 1000 matrículas de escolarização
80;EM PROFª MARIA JULIA RODRIGUES TANURI;29476623;Ativa;Publica;Municipal;48918-305;;RUA RUA PROJETADA C, S/N RES DR HUMBERTO. NOVA JUAZEIRO.;Urbana;-9.46130418;-40.53332778;;;NÃO;Entre 501 e 1000 matrículas de escolarização
